ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"173.212.248.58","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","11103","socks4","71","1","2024-07-24T08:17:37.608Z","52","3893","7538"
"197.254.7.178","elite","AS15808","KE","ACCESSKENYA","193","Law Society","4145","socks4","3505","1","2024-07-24T08:17:37.591Z","99","823","834"
"89.161.89.161","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","31","TPODLASIE CATV Network","5678","socks4","5405","1","2024-07-24T08:17:37.391Z","100","7590","7622"
"116.102.244.96","elite","AS7552","VN","Viettel Corporation","258","Viettel Group","5678","socks4","74","81","2024-07-24T08:17:37.398Z","62","4679","7569"
"162.243.55.12","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","50941","socks4","3303","2","2024-07-24T08:17:37.505Z","100","849","849"
"203.24.108.194","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","4902","2","2024-07-24T08:17:37.593Z","100","7433","7434"
"138.97.0.66","elite","AS262346","BR","FP Telecomunicacoes Ltda","288","FP Telecomunicacoes Ltda","4145","socks4","70","82","2024-07-24T08:17:37.602Z","78","5831","7499"
"82.137.250.156","elite","AS29256","SY","190 Internet Service Provider","60","N/A","4145","socks4","2403","2","2024-07-24T08:17:37.507Z","89","761","851"
"103.47.93.228","elite","AS134058","IN","Broban Internet Services Pvt.ltd","171","Broban  PVT Ltd.","1080","socks4","234","1","2024-07-24T08:17:37.601Z","99","7361","7420"
"202.162.212.163","elite","AS9341","ID","PT Indonesia Comnets Plus","162","N/A","4153","socks4","669","2","2024-07-24T08:17:37.489Z","98","445","453"
"103.47.93.199","elite","AS134058","IN","Broban Internet Services Pvt.ltd","280","Broban  PVT Ltd.","1080","socks4","73","1","2024-07-24T08:17:37.301Z","99","7527","7597"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","71","1","2024-07-24T08:17:37.496Z","100","7465","7466"
"187.63.9.62","elite","AS28658","BR","Gigalink de Nova Friburgo Soluções em Rede Multimi","198","Gigalink de Nova Friburgo Soluções em Rede Multimi","63253","socks5","3494","1","2024-07-24T08:17:37.598Z","99","834","842"
"71.167.151.15","elite","AS701","US","Verizon Business","84","Verizon Business","8080","socks5","5000","1","2024-07-24T08:17:37.599Z","100","7367","7374"
"109.120.156.109","elite","AS210644","SE","Aeza International LTD","2","Aeza International LTD","80","http","5102","76105","2024-07-24T08:17:37.692Z","100","22","22"
"187.44.146.2","elite","AS28186","BR","ITS TELECOMUNICACOES LTDA","181","ITS TELECOMUNICACOES LTDA","32139","socks4","963","1","2024-07-24T08:17:37.494Z","87","6680","7644"
